,y_test,y_pred,residual
4449,810,98489.65744025349,-97679.65744025349
994,696,98624.46091775477,-97928.46091775477
1667,851,98669.355960808,-97818.355960808
723,994,98794.57476936509,-97800.57476936509
4670,550,98799.91226234565,-98249.91226234565
5100,716,98803.14519598978,-98087.14519598978
3526,759,98810.95067324268,-98051.95067324268
394,1553,98848.53895309898,-97295.53895309898
1859,6430,98940.56307651423,-92510.56307651423
1209,200,99022.87701041574,-98822.87701041574
4684,314,99293.8215714492,-98979.8215714492
2869,677,99361.427289854,-98684.427289854
2118,1121,99396.55117466098,-98275.55117466098
190,1101,99417.18069074464,-98316.18069074464
320,490,99420.15902069115,-98930.15902069115
5578,1484,99426.70106361105,-97942.70106361105
5053,1155,99671.06703613701,-98516.06703613701
1235,1779,99731.00446743975,-97952.00446743975
3622,1003,99766.37522381109,-98763.37522381109
3333,606,99883.4108635843,-99277.4108635843
2851,590,99888.5019304869,-99298.5019304869
4164,1900,99943.0391255717,-98043.0391255717
2091,1080,99944.22379251228,-98864.22379251228
6016,786,99970.8413751188,-99184.8413751188
5244,458,100054.21769712765,-99596.21769712765
2838,539,100207.53563749464,-99668.53563749464
2782,954,100230.40254076177,-99276.40254076177
3742,645,100283.26001888124,-99638.26001888124
3188,1770,100302.4828745173,-98532.4828745173
115,480,100317.16305092792,-99837.16305092792
3598,2376,100320.05989109821,-97944.05989109821
2790,832,100332.42070063076,-99500.42070063076
298,888,100350.44670062055,-99462.44670062055
650,850,100370.62661111444,-99520.62661111444
2167,613,100427.37487767197,-99814.37487767197
939,4244,100446.70631921948,-96202.70631921948
5290,1526,100490.40486312835,-98964.40486312835
2722,781,100505.50445009868,-99724.50445009868
5768,350,100522.32611631024,-100172.32611631024
2719,800,100593.41360055067,-99793.41360055067
523,728,100606.37418166925,-99878.37418166925
1268,1132,100643.15346875126,-99511.15346875126
50,708,100672.19950467178,-99964.19950467178
408,1465,100762.57467879113,-99297.57467879113
1970,564,100800.47949491235,-100236.47949491235
781,398,100866.13269267445,-100468.13269267445
2096,2611,100901.44741102275,-98290.44741102275
2331,849,101145.8414518514,-100296.8414518514
411,1303,101388.23868084155,-100085.23868084155
5216,994,101407.60486974163,-100413.60486974163
6206,1874,101453.85673964945,-99579.85673964945
4834,320,101470.00571394419,-101150.00571394419
1202,780,101555.2943051637,-100775.2943051637
1877,780,101632.58844568428,-100852.58844568428
3406,2270,101639.68491894448,-99369.68491894448
5590,994,101687.462578945,-100693.462578945
2493,1565,101693.85350019549,-100128.85350019549
508,657,101722.40462900158,-101065.40462900158
3728,290,101805.38822623095,-101515.38822623095
6007,600,101855.88838550002,-101255.88838550002
1810,2500,101863.60963930085,-99363.60963930085
3822,706,101894.37941050268,-101188.37941050268
3814,998,101907.72614444919,-100909.72614444919
5470,2192,101923.65355735348,-99731.65355735348
