,neighbourhood_Azcapotzalco,neighbourhood_Benito Juárez,neighbourhood_Coyoacán,neighbourhood_Cuajimalpa de Morelos,neighbourhood_Cuauhtémoc,neighbourhood_Gustavo A. Madero,neighbourhood_Iztacalco,neighbourhood_Iztapalapa,neighbourhood_Miguel Hidalgo,neighbourhood_Milpa Alta,neighbourhood_Tlalpan,neighbourhood_Tláhuac,neighbourhood_Venustiano Carranza,neighbourhood_Xochimilco,neighbourhood_Álvaro Obregón,latitude,longitude,accommodates,bathrooms,beds,price,availability_365,number_of_reviews
52,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.40663,-99.18653,14,4.0,6,3736,207,275
53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43122,-99.15562,4,2.0,2,1875,135,275
54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36823,-99.18607,4,1.5,4,950,328,3
55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.4418,-99.18402,6,2.0,3,1469,178,39
56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43103,-99.14661,2,1.0,1,1061,163,18
57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41877,-99.17199,3,1.0,1,1103,81,275
58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42804,-99.16463,4,1.0,2,1528,83,110
59,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19.38061,-99.12729,2,1.0,1,1697,0,0
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.44222,-99.14461,14,4.0,6,2377,285,133
63,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41236,-99.17533,2,1.0,1,560,328,275
64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43059,-99.17073,2,1.0,1,1079,300,7
65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41897,-99.16112,3,1.5,1,662,30,36
66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.36305,-99.15412,1,1.0,1,509,0,0
67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42048,-99.16697,2,1.0,1,450,328,87
68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42242,-99.16823,2,1.0,1,350,262,145
69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42048,-99.15678,3,1.0,2,1664,238,264
70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40891,-99.16083,2,1.5,1,679,363,5
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33009,-99.21418,1,1.5,1,6430,361,4
72,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.24444,-99.17044,1,2.0,2,349,0,3
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.34943,-99.19427,2,1.0,1,1500,360,44
74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41368,-99.17907,3,1.0,2,800,309,194
75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19.28356,-99.21837,2,1.0,1,509,348,2
76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19.35379,-99.28459,4,2.5,4,500,363,34
77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43319,-99.14665,1,1.0,1,424,0,106
78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41824,-99.1756,2,1.0,1,509,360,147
79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.34034,-99.18345,2,1.5,1,375,300,215
80,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41444,-99.15734,2,1.0,1,650,61,137
81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.38468,-99.17708,4,1.0,2,2021,358,77
82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.40243,-99.17828,6,1.0,1,1164,365,55
83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42064,-99.16134,4,2.0,2,1697,208,56
84,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40639,-99.16686,1,1.0,1,934,0,0
85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.40137,-99.17173,4,1.0,2,594,55,88
86,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.40692,-99.18831,6,2.0,5,776,229,50
87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40915,-99.17321,2,1.0,1,900,269,45
88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40915,-99.17321,2,1.0,1,850,269,18
89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40915,-99.17321,4,1.0,4,971,270,16
90,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.43165,-99.17132,4,2.0,2,1358,318,38
91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.42887,-99.17651,2,1.0,1,700,107,41
92,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4075,-99.17561,14,4.0,6,6430,365,53
93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35711,-99.16049,4,1.0,3,900,350,45
94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35585,-99.16315,3,1.0,2,1341,363,13
95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.34183,-99.15533,4,1.0,2,764,360,27
96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.44262,-99.14566,2,1.5,1,374,290,138
97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.3424,-99.15419,1,1.0,1,281,352,20
98,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.38336,-99.18197,2,1.0,1,480,269,10
99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35353,-99.16299,3,1.5,1,1341,363,21
100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35358,-99.16948,2,1.0,1,830,362,61
101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41068,-99.17732,2,1.0,1,6430,14,27
102,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41319,-99.1758,6,2.0,4,2716,256,136
105,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4306,-99.17074,2,1.0,1,849,329,23
106,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41017,-99.17886,2,1.5,2,560,88,49
108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.44207,-99.14797,14,4.0,6,2377,283,260
109,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41909,-99.16043,2,2.0,1,2464,266,90
110,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42454,-99.13845,1,1.0,1,424,0,2
111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.4153,-99.16763,3,1.0,2,1684,132,275
112,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42063,-99.16586,2,1.0,2,1531,300,55
113,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.40835638269101,-99.17329884322169,2,1.5,1,1441,1,262
114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.43956,-99.17263,4,1.0,3,814,336,155
115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19.43949,-99.08769,2,1.0,2,390,352,275
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33036,-99.21737,1,1.5,1,443,41,2
117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42288,-99.15488,3,1.0,1,1383,279,275
118,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.42675,-99.1613,2,1.0,2,747,358,97
119,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19.41434,-99.15857,4,1.0,2,1269,0,275
120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.43573,-99.18955,2,1.0,1,1329,334,86
121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.35284,-99.1695,2,1.0,2,950,358,37
122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19.34219,-99.15952,2,1.0,1,628,248,9
123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.38875,-99.24067,1,1.0,1,1124,88,0
